date,time,batteryVoltage,batteryCurrent,panelVoltage,panelPower
25/3/2015,10:47:24 AM,25450,500,31820,13
25/3/2015,10:47:24 AM,25450,500,31690,13
25/3/2015,10:47:25 AM,25450,500,31420,14
25/3/2015,10:47:25 AM,25450,500,31070,14
25/3/2015,10:47:26 AM,25450,500,30760,14
25/3/2015,10:47:26 AM,25450,500,30730,14
25/3/2015,10:47:27 AM,25450,500,31080,14
25/3/2015,10:47:27 AM,25450,500,31160,14
25/3/2015,10:47:28 AM,25450,500,30830,14
25/3/2015,10:47:28 AM,25450,500,30490,14
25/3/2015,10:47:29 AM,25450,500,30100,14
25/3/2015,10:47:29 AM,25450,500,29730,15
25/3/2015,10:47:30 AM,25450,500,29440,15
25/3/2015,10:47:30 AM,25450,500,29170,14
25/3/2015,10:47:31 AM,25450,500,28910,15
25/3/2015,10:47:31 AM,25450,500,28830,15
25/3/2015,10:47:32 AM,25450,500,28240,15
25/3/2015,10:47:32 AM,25450,500,28490,15
25/3/2015,10:47:33 AM,25460,600,29140,16
